Thread,Input,Output,Active Cycles,Work Score,Utilization (%)
207,315,10369065,315,18.24,0.07
208,174,1741049,274,15.87,0.06
209,334,56565,526,30.46,0.12
210,885,230659910,885,51.24,0.20
211,719,344779,1131,65.49,0.25
212,834,193017649,1314,76.09,0.29
213,502,126824,646,37.41,0.14
214,272,49180,350,20.27,0.08
215,724,263796,1140,66.01,0.26
216,168,1566532,240,13.90,0.05
217,1060,563390,1060,61.38,0.24
218,810,176819085,810,46.90,0.18
219,112,6453,144,8.34,0.03
220,156,1253330,179,10.36,0.04
221,198,2567982,285,16.50,0.06
222,635,268393,635,36.77,0.14
223,941,589693,1076,62.30,0.24
224,1099,606489,1727,100.00,0.41
225,162,1404105,210,12.16,0.05
226,483,37443172,690,39.95,0.16
227,307,47626,395,22.87,0.09
228,741,135348590,847,49.04,0.20
229,707,332862,909,52.63,0.21
230,310,48515,310,17.95,0.07
231,338,76084,485,28.08,0.11
232,477,36063495,615,35.61,0.15
233,611,248473,699,40.47,0.17
234,1009,511422,1589,92.01,0.38
235,245,39853,245,14.19,0.06
236,905,545413,905,52.40,0.21
237,183,2026196,264,15.29,0.06
238,812,439137,1044,60.45,0.25
239,331,55275,379,21.95,0.09
240,417,24083756,537,31.09,0.13
241,949,452538,1493,86.45,0.35
242,950,601033,950,55.01,0.22
243,151,11625,173,10.02,0.04
244,351,14352975,402,23.28,0.10
245,474,35386957,746,43.20,0.18
246,128,10894,185,10.71,0.04
247,772,299258,994,57.56,0.24
248,786,161553785,899,52.06,0.21
249,838,352736,1198,69.37,0.28
250,784,309174,1232,71.34,0.29
251,842,472202,1084,62.77,0.26
252,289,42444,457,26.46,0.11
253,319,51633,503,29.13,0.12
254,1036,538200,1184,68.56,0.28
255,288,7921326,414,23.97,0.10
256,733,270056,1048,60.68,0.23
257,419,117121,659,38.16,0.15
258,847,360093,1089,63.06,0.24
259,374,93325,590,34.16,0.13
260,1027,529049,1321,76.49,0.29
261,410,111793,410,23.74,0.09
262,613,189065,877,50.78,0.20
263,756,143741430,864,50.03,0.19
264,273,6745037,390,22.58,0.09
265,874,383997,1374,79.56,0.31
266,253,32492,364,21.08,0.08
267,1078,583118,1540,89.17,0.34
268,957,291698203,1231,71.28,0.27
269,318,10668773,456,26.40,0.10
270,309,9787124,489,28.31,0.11
271,626,260833,716,41.46,0.16
272,167,18505,215,12.45,0.05
273,512,174495,660,38.22,0.15
274,1030,531995,1030,59.64,0.23
275,771,152474245,882,51.07,0.20
276,886,393825,1013,58.66,0.23
277,1058,745993,1514,87.67,0.34
278,443,130729,635,36.77,0.14
279,573,62547016,819,47.42,0.18
280,796,318000,910,52.69,0.20
281,127,8271,165,9.55,0.04
282,315,10369065,315,18.24,0.07
283,337,57336,435,25.19,0.10
284,698,324637,998,57.79,0.22
285,251,41833,287,16.62,0.06
286,525,48096650,525,30.40,0.12
287,331,55275,379,21.95,0.08
288,571,163875,653,37.81,0.15
289,625,196250,625,36.19,0.15
290,957,291698203,1231,71.28,0.29
291,850,362525,850,49.22,0.20
292,935,582193,935,54.14,0.22
293,470,146953,470,27.21,0.11
294,858,210175334,1227,71.05,0.29
295,460,106490,460,26.64,0.11
296,597,70747372,769,44.53,0.18
297,363,15878381,519,30.05,0.12
298,439,97395,691,40.01,0.16
299,454,104127,714,41.34,0.17
300,581,224653,664,38.45,0.16
301,648,90489699,927,53.68,0.22
302,981,314211030,1122,64.97,0.27
303,649,212130,1021,59.12,0.24
304,1060,563390,1060,61.38,0.25
305,911,552673,1042,60.34,0.25
306,672,100929232,864,50.03,0.20
307,199,20271,315,18.24,0.07
308,869,503611,1369,79.27,0.32
309,1015,516635,1015,58.77,0.24
310,672,100929232,864,50.03,0.20
311,917,560112,1179,68.27,0.28
312,394,78549,622,36.02,0.15
313,239,38131,379,21.95,0.09
314,155,15913,155,8.98,0.04
315,344,78961,544,31.50,0.13
316,743,367858,1064,61.61,0.25
317,932,578595,1200,69.48,0.28
318,575,220033,575,33.29,0.14
319,566,213193,647,37.46,0.15
320,457,105173,589,34.11,0.13
321,784,309174,1232,71.34,0.28
322,316,50400,362,20.96,0.08
323,644,276613,1012,58.60,0.23
324,155,15913,155,8.98,0.03
325,426,25678925,487,28.20,0.11
326,1005,337853530,1005,58.19,0.23
327,1004,672205,1580,91.49,0.36
328,689,316615,1085,62.83,0.24
329,344,78961,544,31.50,0.12
330,358,64772,514,29.76,0.12
331,171,1652145,196,11.35,0.04
332,244,30342,384,22.24,0.09
333,239,38131,379,21.95,0.09
334,1072,576351,1380,79.91,0.31
335,557,206541,717,41.52,0.16
336,402,21574259,518,29.99,0.12
337,644,276613,1012,58.60,0.23
338,656,286453,750,43.43,0.17
339,171,1652145,196,11.35,0.04
340,911,552673,1042,60.34,0.24
341,580,169070,580,33.58,0.13
342,341,77293,390,22.58,0.09
343,205,21320,205,11.87,0.05
344,719,344779,1131,65.49,0.26
345,396,20621370,453,26.23,0.10
346,801,170986800,916,53.04,0.21
347,362,87173,466,26.98,0.11
348,580,169070,580,33.58,0.13
349,276,6970150,316,18.30,0.07
350,828,188878887,1185,68.62,0.27
351,938,586339,1340,77.59,0.30
352,960,294451360,960,55.59,0.22
353,396,20621370,453,26.23,0.10
354,834,193017649,1314,76.09,0.29
355,367,67945,473,27.39,0.11
356,722,347145,930,53.85,0.21
357,1091,792793,1247,72.21,0.28
358,271,37125,310,17.95,0.07
359,664,222012,1044,60.45,0.23
360,687,107845130,885,51.24,0.20
361,882,228320967,1134,65.66,0.25
362,735,132085135,735,42.56,0.16
363,832,347476,1070,61.96,0.24
364,1021,522750,1167,67.57,0.26
365,707,332862,909,52.63,0.20
366,641,273493,733,42.44,0.16
367,676,229500,773,44.76,0.17
368,603,72903966,864,50.03,0.19
369,549,55006248,865,50.09,0.19
370,747,138665468,961,55.65,0.22
371,414,23567379,654,37.87,0.15
372,1029,362654096,1617,93.63,0.36
373,988,489977,1414,81.88,0.32
374,871,380625,996,57.67,0.22
375,1000,501500,1000,57.90,0.22
376,636,85551010,727,42.10,0.16
377,572,217823,736,42.62,0.16
378,615,77347115,615,35.61,0.14
379,117,527063,151,8.74,0.03
380,100,5150,100,5.79,0.02
381,695,321553,695,40.24,0.16
382,307,47626,395,22.87,0.09
383,312,10075201,402,23.28,0.09
384,344,78961,544,31.50,0.12
385,1041,375495640,1190,68.91,0.26
386,580,169070,580,33.58,0.13
387,318,10668773,456,26.40,0.10
388,385,74690,385,22.29,0.08
389,103,5501,148,8.57,0.03
390,882,228320967,1134,65.66,0.25
391,972,305637925,1250,72.38,0.27
392,885,230659910,885,51.24,0.19
393,517,134491,665,38.51,0.14
394,1056,391970480,1207,69.89,0.26
395,159,1327417,251,14.53,0.05
396,476,150733,544,31.50,0.12
397,597,70747372,769,44.53,0.17
398,735,132085135,735,42.56,0.16
399,979,481527,1539,89.11,0.33
400,1046,728713,1196,69.25,0.26
401,734,359311,1154,66.82,0.25
402,645,89237470,645,37.35,0.14
403,327,11601898,421,24.38,0.09
404,975,308477975,975,56.46,0.21
405,416,115093,476,27.56,0.10
406,580,169070,580,33.58,0.13
407,863,496309,1235,71.51,0.27
408,888,233015281,1269,73.48,0.27
409,1095,437044795,1095,63.40,0.24
410,232,27291,300,17.37,0.06
411,888,233015281,1269,73.48,0.27
412,1042,544591,1340,77.59,0.29
413,439,97395,691,40.01,0.15
414,453,30884225,648,37.52,0.14
415,286,41325,327,18.93,0.07
416,733,270056,1048,60.68,0.24
417,933,270287392,1335,77.30,0.31
418,505,128270,505,29.24,0.12
419,1018,520124,1456,84.31,0.34
420,288,7921326,414,23.97,0.10
421,287,54762,369,21.37,0.09
422,890,527473,890,51.53,0.21
423,426,25678925,487,28.20,0.11
424,1057,560358,1359,78.69,0.31
425,199,20271,315,18.24,0.07
426,837,195108726,1077,62.36,0.25
427,433,94577,619,35.84,0.14
428,696,112142420,796,46.09,0.18
429,824,452809,1296,75.04,0.30
430,665,294373,665,38.51,0.15
431,995,659353,995,57.61,0.23
432,810,176819085,810,46.90,0.19
433,210,3064985,210,12.16,0.05
434,574,166089,902,52.23,0.21
435,685,235640,685,39.66,0.16
436,527,184877,679,39.32,0.16
437,1054,557943,1658,96.00,0.38
438,801,170986800,916,53.04,0.21
439,667,223538,859,49.74,0.20
440,401,106933,459,26.58,0.11
441,933,270287392,1335,77.30,0.31
442,808,327989,1156,66.94,0.27
443,344,78961,544,31.50,0.13
444,273,6745037,390,22.58,0.09
445,161,17173,184,10.65,0.04
446,530,186913,530,30.69,0.12
447,258,5691376,369,21.37,0.09
448,346,60375,396,22.93,0.09
449,287,54762,369,21.37,0.08
450,176,20533,202,11.70,0.05
451,886,393825,1013,58.66,0.23
452,475,113525,475,27.50,0.11
453,318,10668773,456,26.40,0.10
454,212,29852,274,15.87,0.06
455,784,309174,1232,71.34,0.28
456,417,24083756,537,31.09,0.12
457,301,45750,344,19.92,0.08
458,117,527063,151,8.74,0.03
459,366,16275715,419,24.26,0.09
460,1025,699733,1025,59.35,0.23
461,1034,712969,1626,94.15,0.37
462,613,189065,877,50.78,0.20
463,736,271950,842,48.76,0.19
464,145,10730,145,8.40,0.03
465,1087,592568,1399,81.01,0.31
466,673,227762,964,55.82,0.22
467,924,262537066,1452,84.08,0.33
468,1042,544591,1340,77.59,0.30
469,374,93325,590,34.16,0.13
470,491,160393,562,32.54,0.13
471,343,59483,490,28.37,0.11
472,208,22031,298,17.26,0.07
473,551,202033,630,36.48,0.14
474,587,229405,755,43.72,0.17
475,733,270056,1048,60.68,0.24
476,612,76219894,788,45.63,0.18
