Thread,Input,Output,Active Cycles,Work Score,Utilization (%)
655,828,188878887,1185,68.62,0.29
656,829,345576,1305,75.56,0.32
657,672,100929232,864,50.03,0.21
658,620,255853,620,35.90,0.15
659,316,50400,362,20.96,0.09
660,783,159710151,1119,64.79,0.28
661,184,17364,292,16.91,0.07
662,881,516853,1007,58.31,0.25
663,305,61813,305,17.66,0.08
664,171,1652145,196,11.35,0.05
665,732,130473371,942,54.55,0.23
666,694,242457,1094,63.35,0.27
667,598,179954,856,49.57,0.21
668,317,66827,409,23.68,0.10
669,967,469131,1245,72.09,0.31
670,410,111793,410,23.74,0.10
671,847,360093,1089,63.06,0.27
672,197,25770,255,14.77,0.06
673,977,635841,1257,72.79,0.28
674,1038,372257522,1485,85.99,0.33
675,547,150501,705,40.82,0.16
676,847,360093,1089,63.06,0.24
677,1092,433461002,1404,81.30,0.32
678,280,39620,280,16.21,0.06
679,1012,513732,1302,75.39,0.29
680,751,283125,859,49.74,0.19
681,890,527473,890,51.53,0.20
682,484,118272,764,44.24,0.17
683,870,219122695,870,50.38,0.20
684,1075,579425,1075,62.25,0.24
685,191,24193,219,12.68,0.05
686,598,179954,856,49.57,0.19
687,804,172917104,1264,73.19,0.28
688,116,8893,133,7.70,0.03
689,119,9463,187,10.83,0.04
690,372,17090540,480,27.79,0.11
691,151,11625,173,10.02,0.04
692,555,56830705,555,32.14,0.12
693,506,170353,579,33.53,0.13
694,356,84253,407,23.57,0.09
695,626,260833,716,41.46,0.16
696,138,866585,198,11.46,0.04
697,951,286243075,1087,62.94,0.24
698,124,7980,196,11.35,0.04
699,707,332862,909,52.63,0.20
700,170,19153,170,9.84,0.04
701,786,161553785,899,52.06,0.20
702,455,137713,455,26.35,0.10
703,267,6309160,345,19.98,0.08
704,664,222012,1044,60.45,0.23
705,393,20155831,564,32.66,0.12
706,1066,569775,1219,70.58,0.27
707,763,292553,1090,63.12,0.24
708,385,74690,385,22.29,0.08
709,599,239317,943,54.60,0.21
710,675,102287925,675,39.09,0.15
711,1037,716370,1335,77.30,0.29
712,389,100957,613,35.50,0.13
713,1059,395323141,1667,96.53,0.37
714,159,1327417,251,14.53,0.06
715,716,341293,819,47.42,0.18
